canonical_key,term_de,article,pos,translations_ja,translations_en,prateritum,partizip_ii,plural,notes,levels,sources,categories
einschalten,einschalten,,verb,スイッチを入れる,to switch on / involve,schaltete ein,eingeschaltet,,,B1,german_vocab_master.xlsx,verb | B1
einsicht,die Einsicht,die,noun,洞察,insight,,,die Einsichten,,C1,german_vocab_master.xlsx,Wissenschaft | noun | C1
einsteigen,einsteigen,,verb,乗り込む,to get in / board / enter,stieg ein,eingestiegen,,,B1,german_vocab_master.xlsx,verb | B1
einstellung,die Einstellung,die,noun,態度／姿勢／採用,attitude / setting / hiring,,,die Einstellungen,,B1,german_vocab_master.xlsx,noun | B1
eintritt,der Eintritt,der,noun,入場（料）,admission,,,die Eintritte,,A2,german_vocab_master.xlsx,noun | A2
eintrittskarte,die Eintrittskarte,die,noun,入場券,admission ticket,,,die Eintrittskarten,,A2,german_vocab_master.xlsx,Verkehr | Reisen | noun | A2
einwand,der Einwand,der,noun,異議,objection,,,die Einwände,,C1,german_vocab_master.xlsx,noun | C1
einwanderung,die Einwanderung,die,noun,移住（入国）,immigration,,,die Einwanderungen,,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
einwenden,einwenden,,verb,異議を唱える,to object,wandte ein,hat eingewandt,,mixed,C1,german_vocab_master.xlsx,verb | C1
einzahlen,einzahlen,,verb,預け入れる,to deposit,zahlte ein,hat eingezahlt,,,A2,german_vocab_master.xlsx,Einkaufen | verb | A2
einzelne,der Einzelne,der,noun,個人,individual person,,,die Einzelnen,,B1,german_vocab_master.xlsx,noun | B1
eis,das Eis,das,noun,アイス／氷,"ice cream, ice",,,,,A2,german_vocab_master.xlsx,Essen | Wetter | noun | A2
elektriker,der Elektriker,der,noun,電気技師,electrician,,,die Elektriker,,A2,german_vocab_master.xlsx,noun | A2
elf,elf,,num,11,eleven,,,,,A1,german_vocab_master.xlsx,num | A1
ellbogen,der Ellbogen,der,noun,肘,elbow,,,die Ellbogen,,A2,german_vocab_master.xlsx,noun | A2
eltern,die Eltern,die,noun,両親,parents,,,,plural only,A1,german_vocab_master.xlsx,Familie | noun | A1
emanzipation,die Emanzipation,die,noun,解放,emancipation,,,die Emanzipationen,,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
emission,die Emission,die,noun,排出,emission,,,die Emissionen,,B2,german_vocab_master.xlsx,Umwelt | noun | B2
emotion,die Emotion,die,noun,感情,emotion,,,die Emotionen,,B2,german_vocab_master.xlsx,Gefühle | noun | B2
emotional,emotional,,adj,感情的な,emotional,,,,,B2,german_vocab_master.xlsx,Gefühle | adj | B2
empathie,die Empathie,die,noun,共感,empathy,,,,,B2,german_vocab_master.xlsx,Gefühle | noun | B2
empfinden,empfinden,,verb,感じる,to feel / perceive / sense,empfand,empfunden,,,B1,german_vocab_master.xlsx,Gefühle | verb | B1
ende,das Ende,das,noun,終わり,end,,,die Enden,,A1,german_vocab_master.xlsx,noun | A1
endgültig,endgültig,,adj,最終的な,final,,,,,B2,german_vocab_master.xlsx,adj | B2
energie,die Energie,die,noun,エネルギー,energy,,,die Energien,,B2,german_vocab_master.xlsx,Umwelt | noun | B2
eng,eng,,adj,狭い／密接な,narrow / tight / close,,,,,B1,german_vocab_master.xlsx,adj | B1
entdecken,entdecken,,verb,発見する,to discover,entdeckte,hat entdeckt,,,B2,german_vocab_master.xlsx,Wissenschaft | verb | B2
entdeckung,die Entdeckung,die,noun,発見,discovery,,,die Entdeckungen,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
entfernen,entfernen,,verb,取り除く,to remove,entfernte,hat entfernt,,,B2,german_vocab_master.xlsx,verb | B2
entgegen (+dat.),entgegen (+Dat.),,prep,〜に反して,contrary to / towards / against,,,,,B1,german_vocab_master.xlsx,prep | B1
entgegnen,entgegnen,,verb,反論する,to retort,entgegnete,hat entgegnet,,,C1,german_vocab_master.xlsx,verb | C1
enthalten,enthalten,,verb,含む,to contain / include,enthielt,enthalten,,,B1,german_vocab_master.xlsx,verb | B1
enthüllen,enthüllen,,verb,暴露する,to unveil,enthüllte,hat enthüllt,,,C1,german_vocab_master.xlsx,verb | C1
entlang,entlang,,prep,～に沿って,along,,,,+Akk (post),A2,german_vocab_master.xlsx,prep | A2
entscheiden,entscheiden,,verb,決定する,to decide,entschied,hat entschieden,,irregular,A2,german_vocab_master.xlsx,verb | A2
entscheidend,entscheidend,,adj,決定的な,decisive,,,,,B2,german_vocab_master.xlsx,adj | B2
entscheidung treffen,eine Entscheidung treffen,,phrase,決断を下す,to make a decision,,,,,B1,german_vocab_master.xlsx,phrase | B1
entschuldigung,Entschuldigung,die,noun,すみません／お詫び,"excuse me, sorry",,,die Entschuldigungen,,A1,german_vocab_master.xlsx,noun | A1
entsorgen,entsorgen,,verb,廃棄する,to dispose of / get rid of,entsorgte,entsorgt,,,B1,german_vocab_master.xlsx,verb | B1
entspannt,entspannt,,adj,リラックスした,relaxed,,,,,A2,german_vocab_master.xlsx,Gefühle | adj | A2
entspannung,die Entspannung,die,noun,リラックス,relaxation,,,die Entspannungen,,B2,german_vocab_master.xlsx,Gefühle | noun | B2
entsprechend,entsprechend,,prep,～に応じて,according to,,,,+Dat,B2,german_vocab_master.xlsx,prep | B2
entstehen,entstehen,,verb,生じる,to arise / come into being / originate,entstand,entstanden,,,B1,german_vocab_master.xlsx,verb | B1
enttäuscht,enttäuscht,,adj,失望した,disappointed,,,,,B2,german_vocab_master.xlsx,Gefühle | adj | B2
enttäuschung,die Enttäuschung,die,noun,失望,disappointment,,,die Enttäuschungen,,B1,german_vocab_master.xlsx,noun | B1
entweder ... oder,entweder ... oder,,conj,〜か〜か,either ... or,,,,,B1,german_vocab_master.xlsx,conj | B1
entwerten,entwerten,,verb,無効にする,to invalidate / devalue / cancel (a ticket),entwertete,entwertet,,,B1,german_vocab_master.xlsx,Reisen | verb | B1
entwickeln,entwickeln,,verb,発展させる,to develop,entwickelte,hat entwickelt,,,A2,german_vocab_master.xlsx,verb | A2
entwicklung,die Entwicklung,die,noun,発展,development,,,die Entwicklungen,,B2,german_vocab_master.xlsx,noun | B2
er,er,,pron,彼,he,,,,,A1,german_vocab_master.xlsx,pron | A1
erdbeben,das Erdbeben,das,noun,地震,earthquake,,,die Erdbeben,,B2,german_vocab_master.xlsx,Umwelt | noun | B2
erdbeere,die Erdbeere,die,noun,イチゴ,strawberry,,,die Erdbeeren,,A2,german_vocab_master.xlsx,Essen | noun | A2
erderwärmung,die Erderwärmung,die,noun,地球温暖化,global warming,,,,,B2,german_vocab_master.xlsx,Umwelt | noun | B2
ereignis,das Ereignis,das,noun,出来事／事件,event / occurrence,,,die Ereignisse,,B1,german_vocab_master.xlsx,noun | B1
erfahren,erfahren,,adj,経験豊富な,experienced,,,,,B2,german_vocab_master.xlsx,adj | B2
erfahrung,die Erfahrung,die,noun,経験,experience,,,die Erfahrungen,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
erfinden,erfinden,,verb,発明する,to invent,erfand,hat erfunden,,irregular,B2,german_vocab_master.xlsx,Wissenschaft | verb | B2
erfindung,die Erfindung,die,noun,発明,invention,,,die Erfindungen,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
erfolglos,erfolglos,,adj,失敗した,unsuccessful,,,,,B2,german_vocab_master.xlsx,adj | B2
erfolgreich,erfolgreich,,adj,成功した,successful,,,,,B2,german_vocab_master.xlsx,adj | B2
erfordern,erfordern,,verb,要求する,to require,erforderte,hat erfordert,,,B2,german_vocab_master.xlsx,verb | B2
erforschen,erforschen,,verb,研究する,to research / explore / investigate,erforschte,erforscht,,,B1,german_vocab_master.xlsx,verb | B1
erfüllen,erfüllen,,verb,満たす／果たす,to fulfill / satisfy / carry out,erfüllte,erfüllt,,,B1,german_vocab_master.xlsx,verb | B1
erfüllung,die Erfüllung,die,noun,充実感／達成,fulfillment / realization,,,die Erfüllungen,,B1,german_vocab_master.xlsx,noun | B1
ergebnis,das Ergebnis,das,noun,結果,result,,,die Ergebnisse,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
ergreifen,ergreifen,,verb,取る／実施する,to take / seize / implement,ergriff,ergriffen,,,B1,german_vocab_master.xlsx,verb | B1
ergänzen,ergänzen,,verb,補足する,to supplement / add to / complement,ergänzte,ergänzt,,,B1,german_vocab_master.xlsx,verb | B1
erhalten,erhalten,,verb,受け取る／得る,to receive / obtain,erhielt,erhalten,,,B1,german_vocab_master.xlsx,verb | B1
erheblich,erheblich,,adj,著しい,significant,,,,,C1,german_vocab_master.xlsx,adj | C1
erholungsmöglichkeit,die Erholungsmöglichkeit,die,noun,休養の機会,recreational opportunity,,,die Erholungsmöglichkeiten,,B1,german_vocab_master.xlsx,noun | B1
erhältlich,erhältlich,,adj,入手可能な,available / obtainable,,,,,B1,german_vocab_master.xlsx,adj | B1
erkennen,erkennen,,verb,認識する,to recognize,erkannte,hat erkannt,,mixed,A2,german_vocab_master.xlsx,verb | A2
erkenntnis,die Erkenntnis,die,noun,認識,insight,,,die Erkenntnisse,,B2,german_vocab_master.xlsx,noun | B2
erklären,erklären,,verb,説明する,to explain,erklärte,hat erklärt,,,A1,german_vocab_master.xlsx,verb | A1
erkältung,die Erkältung,die,noun,風邪,cold,,,die Erkältungen,,A1,german_vocab_master.xlsx,Gesundheit | Wetter | noun | A1
erlauben,erlauben,,verb,許可する,to allow,erlaubte,hat erlaubt,,,A2,german_vocab_master.xlsx,verb | A2
erlernen,erlernen,,verb,習得する,to learn,erlernte,hat erlernt,,,A2,german_vocab_master.xlsx,Schule | verb | A2
erläutern,erläutern,,verb,詳しく説明する,to elucidate,erläuterte,hat erläutert,,,C1,german_vocab_master.xlsx,verb | C1
ermitteln,ermitteln,,verb,突き止める,to determine,ermittelte,hat ermittelt,,,B2,german_vocab_master.xlsx,verb | B2
ermöglichen,ermöglichen,,verb,可能にする,to enable,ermöglichte,hat ermöglicht,,,B2,german_vocab_master.xlsx,verb | B2
erneuerbar,erneuerbar,,adj,再生可能な,renewable,,,,,B2,german_vocab_master.xlsx,Umwelt | adj | B2
ernst,ernst,,adj,真剣な,serious,,,,,A2,german_vocab_master.xlsx,adj | A2
ernte,die Ernte,die,noun,収穫,harvest / crop,,,die Ernten,,B1,german_vocab_master.xlsx,noun | B1
ernten,ernten,,verb,収穫する,to harvest,erntete,geerntet,,,B1,german_vocab_master.xlsx,verb | B1
ernährung,die Ernährung,die,noun,食生活／栄養,nutrition / diet,,,die Ernährungen,,B1,german_vocab_master.xlsx,noun | B1
erreichen,erreichen,,verb,達する,to reach / achieve,erreichte,erreicht,,,B1,german_vocab_master.xlsx,verb | B1
erscheinen,erscheinen,,verb,現れる／出版される,to appear / be published / seem,erschien,erschienen,,,B1,german_vocab_master.xlsx,verb | B1
ersetzen,ersetzen,,verb,置き換える,to replace,ersetzte,hat ersetzt,,,B2,german_vocab_master.xlsx,verb | B2
erst,erst,,adv,やっと,"only, not until",,,,,A2,german_vocab_master.xlsx,adv | A2
erstaunlich,erstaunlich,,adj,驚くべき,astonishing,,,,,C1,german_vocab_master.xlsx,adj | C1
erwachsene,der Erwachsene,der,noun,大人,adult,,,die Erwachsenen,adj-decl,A2,german_vocab_master.xlsx,noun | A2
erwarten,erwarten,,verb,期待する,to expect,erwartete,hat erwartet,,,B2,german_vocab_master.xlsx,verb | B2
erwartung,die Erwartung,die,noun,期待／予想,expectation,,,die Erwartungen,,B1,german_vocab_master.xlsx,noun | B1
erwidern,erwidern,,verb,応答する,to reply,erwiderte,hat erwidert,,,C1,german_vocab_master.xlsx,verb | C1
erwärmen,erwärmen,,verb,温める,to warm (up) / heat,erwärmte,erwärmt,,,B1,german_vocab_master.xlsx,Wetter | verb | B1
erzählen,erzählen,,verb,語る,"to tell, to narrate",erzählte,hat erzählt,,,A2,german_vocab_master.xlsx,verb | A2
erörtern,erörtern,,verb,詳しく論じる,to discuss in detail,erörterte,hat erörtert,,,C1,german_vocab_master.xlsx,verb | C1
es,es,,pron,それ,it,,,,,A1,german_vocab_master.xlsx,pron | A1
eskalation,die Eskalation,die,noun,エスカレーション,escalation,,,die Eskalationen,,C1,german_vocab_master.xlsx,noun | C1
eskalieren,eskalieren,,verb,エスカレートする,to escalate,eskalierte,ist eskaliert,,,C1,german_vocab_master.xlsx,verb | C1
essen,das Essen,das,noun,食事／食べ物 | 食べる,"food, meal | to eat",aß,hat gegessen,die Essen,,A1,german_vocab_master.xlsx,Essen | noun | A1 | verb
essig,der Essig,der,noun,酢,vinegar,,,,,A2,german_vocab_master.xlsx,Essen | noun | A2
esszimmertisch,der Esszimmertisch,der,noun,ダイニングテーブル,dining table,,,die Esszimmertische,,B1,german_vocab_master.xlsx,noun | B1
etablieren,etablieren,,verb,確立する,to establish,etablierte,hat etabliert,,,C1,german_vocab_master.xlsx,verb | C1
etablierung,die Etablierung,die,noun,確立,establishment,,,die Etablierungen,,C1,german_vocab_master.xlsx,noun | C1
etwa,etwa,,adv,およそ,approximately,,,,,A1,german_vocab_master.xlsx,adv | A1
euer,euer,,pron,あなたたちの,your (plural),,,,,A1,german_vocab_master.xlsx,pron | A1
euro,der Euro,der,noun,ユーロ,euro,,,die Euro,,A1,german_vocab_master.xlsx,Einkaufen | noun | A1
ewig,ewig,,adj,永遠の,eternal / forever,,,,,B1,german_vocab_master.xlsx,adj | B1
ewigkeit,die Ewigkeit,die,noun,永遠,eternity / ages,,,die Ewigkeiten,,B1,german_vocab_master.xlsx,noun | B1
experiment,das Experiment,das,noun,実験,experiment,,,die Experimente,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
experimentieren,experimentieren,,verb,実験する,to experiment,experimentierte,hat experimentiert,,,B2,german_vocab_master.xlsx,Wissenschaft | verb | B2
export,der Export,der,noun,輸出,export,,,die Exporte,,B2,german_vocab_master.xlsx,Wirtschaft | noun | B2
exportieren,exportieren,,verb,輸出する,to export,exportierte,hat exportiert,,,B2,german_vocab_master.xlsx,Wirtschaft | verb | B2
fach,das Fach,das,noun,科目／引き出し,"subject, drawer",,,die Fächer,,A1,german_vocab_master.xlsx,Schule | noun | A1
fachrichtung,die Fachrichtung,die,noun,専攻分野,field of study,,,die Fachrichtungen,,B2,german_vocab_master.xlsx,Wissenschaft | Bildung | noun | B2
fahren,fahren,,verb,乗り物で行く／運転する,"to drive, go (vehicle)",fuhr,ist gefahren,,,A1,german_vocab_master.xlsx,Verkehr | verb | A1
fahrgemeinschaft,die Fahrgemeinschaft,die,noun,カープール,carpool / ridesharing,,,die Fahrgemeinschaften,,B1,german_vocab_master.xlsx,noun | B1
fahrkarte,die Fahrkarte,die,noun,乗車券,ticket,,,die Fahrkarten,,A1,german_vocab_master.xlsx,Reisen | Verkehr | noun | A1
fahrplan,der Fahrplan,der,noun,時刻表,timetable,,,die Fahrpläne,,A2,german_vocab_master.xlsx,Verkehr | noun | A2
fahrrad,das Fahrrad,das,noun,自転車,bicycle,,,die Fahrräder,,A1,german_vocab_master.xlsx,Verkehr | noun | A1
fahrradwäsche,die Fahrradwäsche,die,noun,自転車洗浄,bicycle wash,,,die Fahrradwäschen,,B1,german_vocab_master.xlsx,Verkehr | noun | B1
fahrschein,der Fahrschein,der,noun,乗車券,ticket,,,die Fahrscheine,,A2,german_vocab_master.xlsx,Verkehr | Reisen | noun | A2
fall,der Fall,der,noun,場合／事例,case / instance,,,die Fälle,,B1,german_vocab_master.xlsx,noun | B1
falls,falls,,conj,～の場合,in case,,,,subordinating,A2,german_vocab_master.xlsx,conj | A2
falsch,falsch,,adj,間違い,wrong,,,,,A1,german_vocab_master.xlsx,adj | A1
familie,die Familie,die,noun,家族,family,,,die Familien,,A1,german_vocab_master.xlsx,Familie | Wohnen | noun | A1
farbe,die Farbe,die,noun,色,color,,,die Farben,,A1,german_vocab_master.xlsx,Farben | noun | A1
farblos,farblos,,adj,色のない,colorless / pale / bland,,,,,B1,german_vocab_master.xlsx,Farben | adj | B1
fassen,fassen,,verb,まとめる／つかむ,to summarize / grasp / seize,fasste,gefasst,,,B1,german_vocab_master.xlsx,verb | B1
fast,fast,,adv,ほとんど,almost,,,,,A1,german_vocab_master.xlsx,adv | A1
februar,der Februar,der,noun,2月,February,,,,,A1,german_vocab_master.xlsx,Zeit | noun | A1
fehlen,fehlen,,verb,欠けている／足りない,to be missing / lack,fehlte,gefehlt,,,B1,german_vocab_master.xlsx,verb | B1
fehlend,fehlend,,adj,欠けている,missing / lacking / absent,,,,,B1,german_vocab_master.xlsx,adj | B1
feierabend,der Feierabend,der,noun,終業後,end of working day,,,,,A2,german_vocab_master.xlsx,Zeit | noun | A2
feiern,feiern,,verb,祝う,to celebrate / party,feierte,gefeiert,,,B1,german_vocab_master.xlsx,Freizeit | verb | B1
feminismus,der Feminismus,der,noun,フェミニズム,feminism,,,,der Feminismus,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
fenster,das Fenster,das,noun,窓,window,,,die Fenster,,A1,german_vocab_master.xlsx,Wohnen | noun | A1
ferien,die Ferien,die,noun,休み,holidays,,,,plural,A1,german_vocab_master.xlsx,Reisen | noun | A1
ferner,ferner,,adv,さらに,furthermore,,,,,B2,german_vocab_master.xlsx,adv | B2
fernsehen,das Fernsehen,das,noun,テレビ,television,,,,,B2,german_vocab_master.xlsx,Medien | noun | B2
fertig,fertig,,adj,出来上がった,"finished, ready",,,,,A1,german_vocab_master.xlsx,adj | A1
feststellen,feststellen,,verb,確認する／気づく,to determine / establish / notice,stellte fest,festgestellt,,,B1,german_vocab_master.xlsx,verb | B1
feucht,feucht,,adj,湿った,humid,,,,,A2,german_vocab_master.xlsx,adj | A2
fieber,das Fieber,das,noun,熱,fever,,,,no plural,A1,german_vocab_master.xlsx,Gesundheit | noun | A1
film,der Film,der,noun,映画,"movie, film",,,die Filme,,A1,german_vocab_master.xlsx,Freizeit | noun | A1
finden,finden,,verb,見つける／思う,to find,fand,hat gefunden,,,A1,german_vocab_master.xlsx,verb | A1
finger,der Finger,der,noun,指,finger,,,die Finger,,A1,german_vocab_master.xlsx,noun | A1
firma,die Firma,die,noun,会社,company,,,die Firmen,,A1,german_vocab_master.xlsx,Arbeit | noun | A1
firmeneigen,firmeneigen,,adj,会社所有の,company-owned,,,,,B1,german_vocab_master.xlsx,Arbeit | adj | B1
fisch,der Fisch,der,noun,魚,fish,,,die Fische,,A1,german_vocab_master.xlsx,Essen | noun | A1
fitness,der Fitness,der,noun,フィットネス,fitness,,,,,A2,german_vocab_master.xlsx,Freizeit | noun | A2
fitnessstudio,das Fitnessstudio,das,noun,ジム,gym,,,die Fitnessstudios,,A2,german_vocab_master.xlsx,Freizeit | noun | A2
flach,flach,,adj,平らな,flat,,,,,A2,german_vocab_master.xlsx,adj | A2
fleck,der Fleck,der,noun,汚れ／しみ,stain / spot / mark,,,die Flecken,,B1,german_vocab_master.xlsx,noun | B1
fleisch,das Fleisch,das,noun,肉,meat,,,,no plural,A1,german_vocab_master.xlsx,Essen | noun | A1
flexibel,flexibel,,adj,柔軟な,flexible,,,,,B2,german_vocab_master.xlsx,adj | B2
fliegen,fliegen,,verb,飛ぶ／飛行機で行く,to fly,flog,ist geflogen,,,A1,german_vocab_master.xlsx,Reisen | verb | A1
fliehen,fliehen,,verb,逃げる,to flee,floh,ist geflohen,,irregular,C1,german_vocab_master.xlsx,verb | C1
flucht,die Flucht,die,noun,逃亡／避難,flight / escape / refuge,,,(uncountable),,B1,german_vocab_master.xlsx,Reisen | noun | B1
flug,der Flug,der,noun,フライト,flight,,,die Flüge,,A2,german_vocab_master.xlsx,Reisen | noun | A2
flughafen,der Flughafen,der,noun,空港,airport,,,die Flughäfen,,A1,german_vocab_master.xlsx,Reisen | noun | A1
flugzeug,das Flugzeug,das,noun,飛行機,airplane,,,die Flugzeuge,,A1,german_vocab_master.xlsx,Reisen | Verkehr | noun | A1
fluss,der Fluss,der,noun,川,river,,,die Flüsse,,A2,german_vocab_master.xlsx,noun | A2
fläche,die Fläche,die,noun,面積／表面,area / surface / zone,,,die Flächen,,B1,german_vocab_master.xlsx,noun | B1
flüchtling,der Flüchtling,der,noun,難民,refugee,,,die Flüchtlinge,,A2,german_vocab_master.xlsx,noun | A2
folge,die Folge,die,noun,結果,consequence,,,die Folgen,,B2,german_vocab_master.xlsx,noun | B2
folglich,folglich,,adv,結果として,therefore,,,,,B2,german_vocab_master.xlsx,adv | B2
formal,formal,,adj,正式な,formal,,,,,B2,german_vocab_master.xlsx,adj | B2
forschen,forschen,,verb,研究する,to research,forschte,hat geforscht,,,B2,german_vocab_master.xlsx,Wissenschaft | verb | B2
forscher,der Forscher,der,noun,研究者,researcher,,,die Forscher,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
forschung,die Forschung,die,noun,研究,research,,,die Forschungen,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
fortbildung,die Fortbildung,die,noun,研修／継続教育,further training / professional development,,,die Fortbildungen,,B1,german_vocab_master.xlsx,noun | B1
fortschritt,der Fortschritt,der,noun,進歩／前進,progress / advance,,,die Fortschritte,,B1,german_vocab_master.xlsx,noun | B1
fortsetzen,fortsetzen,,verb,続ける,to continue,setzte fort,hat fortgesetzt,,,A2,german_vocab_master.xlsx,verb | A2
foto,das Foto,das,noun,写真,photo,,,die Fotos,,A1,german_vocab_master.xlsx,noun | A1
frage,die Frage,die,noun,質問,question,,,die Fragen,,A1,german_vocab_master.xlsx,noun | A1
fragen,fragen,,verb,尋ねる,to ask,fragte,hat gefragt,,,A1,german_vocab_master.xlsx,verb | A1
fraglich,fraglich,,adj,疑問の,questionable,,,,,B2,german_vocab_master.xlsx,adj | B2
frau,die Frau,die,noun,女／妻,"woman, wife",,,die Frauen,,A1,german_vocab_master.xlsx,Familie | noun | A1
frei,frei,,adj,自由な,free,,,,,A1,german_vocab_master.xlsx,adj | A1
freiheit,die Freiheit,die,noun,自由,freedom,,,die Freiheiten,,B2,german_vocab_master.xlsx,Politik | noun | B2
freitag,der Freitag,der,noun,金曜日,Friday,,,die Freitage,,A1,german_vocab_master.xlsx,Zeit | noun | A1
freizeit,die Freizeit,die,noun,余暇,free time,,,,,A2,german_vocab_master.xlsx,Freizeit | noun | A2
fremdsprache,die Fremdsprache,die,noun,外国語,foreign language,,,die Fremdsprachen,,A2,german_vocab_master.xlsx,Schule | noun | A2
freude,die Freude,die,noun,喜び,joy,,,die Freuden,,B2,german_vocab_master.xlsx,Gefühle | noun | B2
freuen (sich),freuen (sich),,verb,喜ぶ,to be glad,freute,hat gefreut,,reflexive,A1,german_vocab_master.xlsx,Gefühle | verb | A1
freund,der Freund,der,noun,友人（男）／彼氏,"friend, boyfriend",,,die Freunde,,A1,german_vocab_master.xlsx,Familie | noun | A1
freundin,die Freundin,die,noun,友人（女）／彼女,"friend, girlfriend",,,die Freundinnen,,A1,german_vocab_master.xlsx,Familie | noun | A1
freundlich,freundlich,,adj,親切な,friendly,,,,,A1,german_vocab_master.xlsx,adj | A1
frieden,der Frieden,der,noun,平和,peace,,,,,B2,german_vocab_master.xlsx,Politik | noun | B2
friseur,der Friseur,der,noun,美容師,hairdresser (m),,,die Friseure,,A2,german_vocab_master.xlsx,noun | A2
friseuse,die Friseuse,die,noun,美容師（女）,hairdresser (f),,,die Friseusen,,A2,german_vocab_master.xlsx,noun | A2
frost,der Frost,der,noun,霜,frost,,,die Fröste,,A2,german_vocab_master.xlsx,Wetter | noun | A2
früh,früh,,adj,早い,early,,,,,A1,german_vocab_master.xlsx,Zeit | adj | A1
frühling,der Frühling,der,noun,春,spring,,,die Frühlinge,,A1,german_vocab_master.xlsx,noun | A1
frühstück,das Frühstück,das,noun,朝食,breakfast,,,die Frühstücke,,A1,german_vocab_master.xlsx,Essen | Zeit | noun | A1
frühstücken,frühstücken,,verb,朝食を取る,to have breakfast,frühstückte,hat gefrühstückt,,,A2,german_vocab_master.xlsx,Essen | Zeit | verb | A2
fuß,der Fuß,der,noun,足,foot,,,die Füße,,A1,german_vocab_master.xlsx,noun | A1
fußball,der Fußball,der,noun,サッカー,"football, soccer",,,die Fußbälle,,A1,german_vocab_master.xlsx,Freizeit | noun | A1
fördern,fördern,,verb,促進する,to promote / support / fund,förderte,gefördert,,,B1,german_vocab_master.xlsx,verb | B1
führen zu (+dat.),führen zu (+Dat.),,verb,〜につながる,to lead to / result in,führte,geführt,,,B1,german_vocab_master.xlsx,verb | B1
führung,die Führung,die,noun,ガイドツアー,guided tour,,,die Führungen,,A2,german_vocab_master.xlsx,noun | A2
fünf,fünf,,num,5,five,,,,,A1,german_vocab_master.xlsx,num | A1
fünftel,das Fünftel,das,noun,5分の1,one fifth,,,die Fünftel,,B1,german_vocab_master.xlsx,Zeit | noun | B1
fünfzehn,fünfzehn,,num,15,fifteen,,,,,A1,german_vocab_master.xlsx,num | A1
fünfzig,fünfzig,,num,50,fifty,,,,,A1,german_vocab_master.xlsx,num | A1
für,für,,prep,〜のために,for,,,,+ Akk.,A1,german_vocab_master.xlsx,prep | A1
fürst,der Fürst,der,noun,君主／侯爵,prince / sovereign ruler,,,die Fürsten,,B1,german_vocab_master.xlsx,noun | B1
galerie,die Galerie,die,noun,ギャラリー,gallery,,,die Galerien,,A2,german_vocab_master.xlsx,Freizeit | noun | A2
ganz,ganz,,adv,全く,completely,,,,,A1,german_vocab_master.xlsx,adv | A1
ganzheitlich,ganzheitlich,,adj,全体論的な,holistic,,,,,C1,german_vocab_master.xlsx,adj | C1
garnele,die Garnele,die,noun,エビ,shrimp,,,die Garnelen,,A2,german_vocab_master.xlsx,Essen | noun | A2
garten,der Garten,der,noun,庭,garden,,,die Gärten,,A1,german_vocab_master.xlsx,Wohnen | noun | A1
gas,das Gas,das,noun,ガス,gas,,,die Gase,,A2,german_vocab_master.xlsx,Wohnen | noun | A2
geben,geben,,verb,与える,to give,gab,hat gegeben,,,A1,german_vocab_master.xlsx,verb | A1
geburt,die Geburt,die,noun,誕生,birth,,,die Geburten,,A2,german_vocab_master.xlsx,noun | A2
geburtenrate,die Geburtenrate,die,noun,出生率,birth rate,,,die Geburtenraten,,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
geburtsort,der Geburtsort,der,noun,出生地,place of birth,,,die Geburtsorte,,A1,german_vocab_master.xlsx,noun | A1
geburtstag,der Geburtstag,der,noun,誕生日,birthday,,,die Geburtstage,,A1,german_vocab_master.xlsx,noun | A1
gedanke,der Gedanke,der,noun,考え／思考,thought / idea,,,die Gedanken,,B1,german_vocab_master.xlsx,noun | B1
gedicht,das Gedicht,das,noun,詩,poem,,,die Gedichte,,A2,german_vocab_master.xlsx,Freizeit | noun | A2
geduld,die Geduld,die,noun,忍耐／我慢,patience,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
gedächtnis,das Gedächtnis,das,noun,記憶力,memory / recollection,,,die Gedächtnisse,,B1,german_vocab_master.xlsx,noun | B1
gefährlich,gefährlich,,adj,危険な,dangerous,,,,,A2,german_vocab_master.xlsx,adj | A2
gefühl,das Gefühl,das,noun,感情,feeling,,,die Gefühle,,B2,german_vocab_master.xlsx,Gefühle | noun | B2
gegen,gegen,,prep,〜に対して,against,,,,+ Akk.,A1,german_vocab_master.xlsx,prep | A1
gegend,die Gegend,die,noun,地域／周辺,area / region / neighborhood,,,die Gegenden,,B1,german_vocab_master.xlsx,noun | B1
gegenseitig,gegenseitig,,adj/adv,お互いの,mutual / reciprocal,,,,,B1,german_vocab_master.xlsx,adj/adv | B1
gegenüber,gegenüber,,prep,～の向かいに,opposite,,,,+Dat,A2,german_vocab_master.xlsx,prep | A2
gehalt,das Gehalt,das,noun,給与,salary,,,die Gehälter,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
geheimnis,das Geheimnis,das,noun,秘密／謎,secret / mystery,,,die Geheimnisse,,B1,german_vocab_master.xlsx,noun | B1
